"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","B365H","B365D","B365A","GBH","GBD","GBA","IWH","IWD","IWA","SBH","SBD","SBA","WHH","WHD","WHA","GB.2.5","GB.2.5.1","GBAHH","GBAHA","GBAH","X","X.1","X.2","X.3","X.4","X.5"
"70","SP2","28/09/03","Cadiz","Vallecano",1,0,"H",0,0,"D",2.3,2.7,3.1,2.35,2.75,2.9,2.3,2.7,2.7,2.3,2.7,3.1,2.2,2.7,3.2,1.95,1.66,1.77,2,0,NA,NA,NA,NA,NA,NA
"71","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","SP2","28/09/03","Ciudad de Murcia","Levante",0,0,"D",0,0,"D",2.5,2.75,2.75,2.5,2.7,2.75,2.6,2.5,2.6,2.5,2.75,2.75,2.4,2.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","SP2","28/09/03","Malaga B","Algeciras",0,0,"D",0,0,"D",NA,NA,NA,2.15,2.7,3.4,2.1,2.7,3.1,2.2,2.7,3.3,2.25,2.65,3.15,2,1.61,1.85,1.85,-0.25,NA,NA,NA,NA,NA,NA
"75","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","SP2","28/09/03","Sp Gijon","Cordoba",1,1,"D",1,1,"D",2,2.8,3.75,2.1,2.8,3.4,2,2.6,3.4,2.05,2.75,3.6,2.1,2.7,3.45,2.3,1.46,1.8,1.9,-0.25,NA,NA,NA,NA,NA,NA
"77","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","SP2","28/09/03","Tenerife","Salamanca",1,1,"D",0,0,"D",1.9,2.87,4,1.9,2.85,3.9,1.9,2.7,3.5,1.9,2.8,4,1.95,2.75,3.85,2.2,1.51,1.9,1.8,-0.5,NA,NA,NA,NA,NA,NA
"79","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","SP2","04/10/03","Alaves","Cadiz",2,0,"H",2,0,"H",2,2.8,3.75,2,2.8,3.7,2,2.7,3.3,2,2.75,3.8,2.05,2.7,3.6,2.1,1.56,2,1.73,-0.5,NA,NA,NA,NA,NA,NA
"81","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","SP2","04/10/03","Cordoba","Almeria",0,1,"A",0,0,"D",2.37,2.75,3,2.3,2.6,3.2,2.3,2.5,2.9,2.3,2.7,3.1,2.3,2.6,3.15,2.2,1.51,2.04,1.7,-0.25,NA,NA,NA,NA,NA,NA
"83","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","SP2","04/10/03","Las Palmas","Tenerife",1,1,"D",1,0,"H",2.37,2.75,3,2.35,2.65,3.1,2.3,2.5,2.9,2.3,2.75,3.1,2.3,2.5,3.3,2.1,1.56,1.77,1.95,0,NA,NA,NA,NA,NA,NA
"85","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","SP2","04/10/03","Poli Ejido","Numancia",1,3,"A",0,1,"A",2.5,2.62,2.87,2.25,2.7,3.2,2.2,2.6,3,2.3,2.7,3.1,2.25,2.6,3.25,2,1.61,2,1.73,-0.25,NA,NA,NA,NA,NA,NA
"87","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","SP2","04/10/03","Recreativo","Malaga B",0,0,"D",0,0,"D",1.61,3.1,5.5,1.65,3.1,5,1.65,2.8,4.6,1.61,3.1,5.5,1.65,3,5,2.1,1.56,1.93,1.78,-0.75,NA,NA,NA,NA,NA,NA
"89","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","SP2","05/10/03","Algeciras","Getafe",3,0,"H",0,0,"D",2.5,2.75,2.75,2.6,2.65,2.75,2.6,2.5,2.6,2.6,2.62,2.75,2.6,2.55,2.75,NA,NA,1.85,1.85,0,NA,NA,NA,NA,NA,NA
"91","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","SP2","05/10/03","Levante","Eibar",1,0,"H",0,0,"D",1.9,2.8,4.2,1.85,2.8,4.3,1.85,2.6,3.8,1.85,2.8,4.33,1.85,2.75,4.3,2.3,1.46,1.85,1.86,-0.5,NA,NA,NA,NA,NA,NA
"93","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","SP2","05/10/03","Salamanca","Sp Gijon",0,2,"A",0,2,"A",2.1,2.75,3,2.1,2.7,3.5,2,2.5,3.5,2.05,2.7,3.75,2.1,2.7,3.45,2.2,1.51,1.82,1.89,-0.25,NA,NA,NA,NA,NA,NA
"95","","","","",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
