"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","SBH","SBD","SBA","SYH","SYD","SYA","WHH","WHD","WHA"
"109","I1","08/12/01","Piacenza","Bologna",2,0,"H",0,0,"D",2.3,2.9,2.95,2.3,2.7,3,2.37,2.8,2.87,2.38,2.88,2.88,2.3,2.88,2.9,2.4,2.8,2.87
"110","I1","09/12/01","Brescia","Inter",1,3,"A",1,1,"D",3.55,3,2,3.2,2.9,2.1,3.6,2.87,2,3.5,3,2,3.4,2.8,2.1,3.75,3,1.9
"111","I1","09/12/01","Chievo","Lecce",2,1,"H",1,0,"H",1.6,3.25,5.4,1.7,3.2,4.2,1.61,3.25,5,1.62,3.25,5,1.62,3.25,5,1.61,3.3,5
"112","I1","09/12/01","Lazio","Fiorentina",3,0,"H",1,0,"H",1.26,4.65,9.25,1.3,4.2,8,1.3,4,9,1.25,4.5,10,1.29,4.33,8.5,1.25,4.5,10
"113","I1","09/12/01","Milan","Juventus",1,1,"D",1,0,"H",NA,NA,NA,2.3,2.7,3,2.25,2.87,3,2.2,2.88,3.2,2.25,2.88,3,2.25,2.8,3.1
"114","I1","09/12/01","Parma","Roma",1,2,"A",1,0,"H",2.87,2.95,2.31,2.6,2.8,2.6,3,2.87,2.25,2.9,3,2.25,3,2.88,2.25,2.87,2.8,2.4
"115","I1","09/12/01","Perugia","Venezia",2,0,"H",1,0,"H",1.7,3.2,4.65,1.7,3.2,4.2,1.8,2.87,4.5,1.73,3.1,4.5,1.73,3.1,4.5,1.66,3.1,5
"116","I1","09/12/01","Torino","Atalanta",1,2,"A",1,1,"D",2.05,3,3.4,2,2.9,3.4,2,2.87,3.6,2,3,3.5,1.91,3,3.75,2,2.87,3.6
"117","I1","09/12/01","Udinese","Verona",2,1,"H",0,0,"D",2,3,3.55,2,2.9,3.4,1.91,3,3.75,1.95,3,3.75,1.91,3.1,3.6,2,2.87,3.6
"118","I1","15/12/01","Inter","Chievo",1,2,"A",1,1,"D",1.48,3.5,6.5,1.5,3.5,5.4,1.44,3.6,6.5,1.44,3.6,7,1.44,3.6,6.5,1.44,3.6,6.5
"119","I1","16/12/01","Atalanta","Parma",4,1,"H",2,0,"H",2.25,2.9,3.05,2.4,2.9,2.7,2.2,2.8,3.2,2.2,2.88,3.2,2.1,3,3.2,2.25,2.87,3
"120","I1","16/12/01","Bologna","Perugia",2,1,"H",2,1,"H",1.6,3.25,5.45,1.7,3.2,4.2,1.67,2.87,5.5,1.67,3,5.5,1.62,3.25,5,1.66,2.9,5.5
"121","I1","16/12/01","Fiorentina","Brescia",1,0,"H",0,0,"D",2.2,3,3.05,2.1,2.9,3.2,2.2,3,3,2.2,3,3,2.2,3.1,2.88,2.1,3,3.2
